2026-04-11 13:08:55 | Calling: http://127.0.0.1/classes/api_push_cli.php | Host: mini.davinunes.eti.br | Title: Sistema de Recursos
2026-04-11 13:09:35 | Calling: http://127.0.0.1/classes/api_push_cli.php | Host: mini.davinunes.eti.br | Title: Novo Comentário
2026-04-11 13:13:28 | Calling: http://127.0.0.1/classes/api_push_cli.php | Host: recurso.conselhomiamibeach.com.br | Title: Novo Recurso (9999/2026)
2026-04-11 13:35:12 | Calling: http://127.0.0.1/classes/api_push_cli.php | Host: mini.davinunes.eti.br | Title: Novo Comentário
2026-04-11 13:35:28 | Calling: http://127.0.0.1/classes/api_push_cli.php | Host: mini.davinunes.eti.br | Title: Sistema de Recursos
2026-04-11 13:43:24 | Calling: http://127.0.0.1/classes/api_push_cli.php | Host: mini.davinunes.eti.br | Title: Novo Comentário
2026-04-11 13:43:30 | Calling: http://127.0.0.1/classes/api_push_cli.php | Host: mini.davinunes.eti.br | Title: Sistema de Recursos
2026-04-11 16:27:13 | Calling: http://127.0.0.1/classes/api_push_cli.php | Host: mini.davinunes.eti.br | Title: Novo Comentário
2026-04-13 12:44:42 | Calling: http://127.0.0.1/classes/api_push_cli.php | Host: mini.davinunes.eti.br | Title: Novo Recurso (106/2026)
2026-04-13 12:49:20 | Calling: http://127.0.0.1/classes/api_push_cli.php | Host: mini.davinunes.eti.br | Title: Novos Anexos (106/2026)
2026-04-13 14:22:01 | Calling: http://127.0.0.1/classes/api_push_cli.php | Host: mini.davinunes.eti.br | Title: Novo Comentário
2026-04-13 16:24:20 | Calling: http://127.0.0.1/classes/api_push_cli.php | Host: mini.davinunes.eti.br | Title: Novo Recurso (110/2026)
2026-04-14 08:19:55 | Calling: http://127.0.0.1/classes/api_push_cli.php | Host: mini.davinunes.eti.br | Title: Novo Comentário
2026-04-14 08:20:51 | Calling: http://127.0.0.1/classes/api_push_cli.php | Host: mini.davinunes.eti.br | Title: Novo Comentário
2026-04-14 08:54:07 | Calling: http://127.0.0.1/classes/api_push_cli.php | Host: mini.davinunes.eti.br | Title: Novo Comentário
2026-04-14 16:26:44 | Calling: http://127.0.0.1/classes/api_push_cli.php | Host: mini.davinunes.eti.br | Title: Novos Anexos (110/2026)
2026-04-14 16:26:55 | Calling: http://127.0.0.1/classes/api_push_cli.php | Host: mini.davinunes.eti.br | Title: Novo Comentário (110/2026)
2026-04-15 22:02:45 | Calling: http://127.0.0.1/classes/api_push_cli.php | Host: mini.davinunes.eti.br | Title: Sistema de Recursos
2026-04-16 10:29:46 | Calling: http://127.0.0.1/classes/api_push_cli.php | Host: mini.davinunes.eti.br | Title: Novo Recurso (121/2026)
2026-04-16 11:59:14 | Calling: http://127.0.0.1/classes/api_push_cli.php | Host: mini.davinunes.eti.br | Title: Novo Comentário
2026-04-16 18:49:29 | Calling: http://127.0.0.1/classes/api_push_cli.php | Host: mini.davinunes.eti.br | Title: Novo Comentário
2026-04-16 18:54:08 | Calling: http://127.0.0.1/classes/api_push_cli.php | Host: mini.davinunes.eti.br | Title: Novo Comentário
2026-04-17 07:42:44 | Calling: http://127.0.0.1/classes/api_push_cli.php | Host: mini.davinunes.eti.br | Title: Novo Recurso (124/2026)
2026-04-17 08:30:10 | Calling: http://127.0.0.1/classes/api_push_cli.php | Host: mini.davinunes.eti.br | Title: Sistema de Recursos
2026-04-17 09:43:27 | Calling: http://127.0.0.1/classes/api_push_cli.php | Host: mini.davinunes.eti.br | Title: Novo Comentário
2026-04-17 09:43:47 | Calling: http://127.0.0.1/classes/api_push_cli.php | Host: mini.davinunes.eti.br | Title: Novo Comentário
2026-04-17 09:44:53 | Calling: http://127.0.0.1/classes/api_push_cli.php | Host: mini.davinunes.eti.br | Title: Novo Comentário
2026-04-17 15:50:03 | Calling: http://127.0.0.1/classes/api_push_cli.php | Host: mini.davinunes.eti.br | Title: Novo Recurso (111/2026)
2026-04-17 17:38:31 | Calling: http://127.0.0.1/classes/api_push_cli.php | Host: mini.davinunes.eti.br | Title: Novo Comentário
2026-04-18 08:56:25 | Calling: http://127.0.0.1/classes/api_push_cli.php | Host: mini.davinunes.eti.br | Title: Sistema de Recursos
2026-04-18 09:42:56 | Calling: http://127.0.0.1/classes/api_push_cli.php | Host: mini.davinunes.eti.br | Title: Novo Comentário
2026-04-19 20:08:37 | Calling: http://127.0.0.1/classes/api_push_cli.php | Host: mini.davinunes.eti.br | Title: Novo Recurso (117/2026)
2026-04-19 21:15:03 | Calling: http://127.0.0.1/classes/api_push_cli.php | Host: mini.davinunes.eti.br | Title: Novo Comentário
2026-04-19 21:24:10 | Calling: http://127.0.0.1/classes/api_push_cli.php | Host: mini.davinunes.eti.br | Title: Novo Comentário
2026-04-19 21:29:17 | Calling: http://127.0.0.1/classes/api_push_cli.php | Host: mini.davinunes.eti.br | Title: Novo Comentário
2026-04-19 21:33:05 | Calling: http://127.0.0.1/classes/api_push_cli.php | Host: mini.davinunes.eti.br | Title: Novo Comentário
2026-04-23 21:36:07 | Calling: http://127.0.0.1/classes/api_push_cli.php | Host: mini.davinunes.eti.br | Title: Novo Recurso (132/2026)
2026-04-24 09:27:06 | Calling: http://127.0.0.1/classes/api_push_cli.php | Host: mini.davinunes.eti.br | Title: Novo Comentário
2026-04-24 09:35:00 | Calling: http://127.0.0.1/classes/api_push_cli.php | Host: mini.davinunes.eti.br | Title: Novo Comentário
2026-04-24 16:47:36 | Calling: http://127.0.0.1/classes/api_push_cli.php | Host: mini.davinunes.eti.br | Title: Novo Recurso (131/2026)
2026-04-25 10:15:01 | Calling: http://127.0.0.1/classes/api_push_cli.php | Host: mini.davinunes.eti.br | Title: Novo Comentário
2026-04-25 10:15:12 | Calling: http://127.0.0.1/classes/api_push_cli.php | Host: mini.davinunes.eti.br | Title: Novo Comentário
2026-04-25 17:40:26 | Calling: http://127.0.0.1/classes/api_push_cli.php | Host: mini.davinunes.eti.br | Title: Novo Comentário
2026-04-26 10:48:09 | Calling: http://127.0.0.1/classes/api_push_cli.php | Host: mini.davinunes.eti.br | Title: Novo Recurso (126/2026)
2026-04-26 11:12:04 | Calling: http://127.0.0.1/classes/api_push_cli.php | Host: mini.davinunes.eti.br | Title: Novo Comentário
2026-04-26 11:20:19 | Calling: http://127.0.0.1/classes/api_push_cli.php | Host: mini.davinunes.eti.br | Title: Novo Comentário
2026-05-01 07:20:20 | Calling: http://127.0.0.1/classes/api_push_cli.php | Host: mini.davinunes.eti.br | Title: Novo Recurso (137/2026)
2026-05-03 20:41:42 | Calling: http://127.0.0.1/classes/api_push_cli.php | Host: mini.davinunes.eti.br | Title: Novo Comentário
2026-05-04 09:14:03 | Calling: http://127.0.0.1/classes/api_push_cli.php | Host: mini.davinunes.eti.br | Title: Novo Recurso (138/2026)
2026-05-04 13:07:29 | Calling: http://127.0.0.1/classes/api_push_cli.php | Host: mini.davinunes.eti.br | Title: Novo Comentário
2026-05-04 13:08:09 | Calling: http://127.0.0.1/classes/api_push_cli.php | Host: mini.davinunes.eti.br | Title: Novo Comentário
2026-05-06 13:26:17 | Calling: http://127.0.0.1/classes/api_push_cli.php | Host: mini.davinunes.eti.br | Title: Novo Recurso (31/26/2026)
2026-05-06 14:27:32 | Calling: http://127.0.0.1/classes/api_push_cli.php | Host: mini.davinunes.eti.br | Title: Novo Recurso (113/2026)
2026-05-06 15:45:34 | Calling: http://127.0.0.1/classes/api_push_cli.php | Host: mini.davinunes.eti.br | Title: Sistema de Recursos
2026-05-06 15:47:47 | Calling: http://127.0.0.1/classes/api_push_cli.php | Host: mini.davinunes.eti.br | Title: Novo Comentário
2026-05-06 16:33:06 | Calling: http://127.0.0.1/classes/api_push_cli.php | Host: mini.davinunes.eti.br | Title: Novo Comentário
2026-05-07 11:27:23 | Calling: http://127.0.0.1/classes/api_push_cli.php | Host: mini.davinunes.eti.br | Title: Novo Comentário
2026-05-07 14:05:01 | Calling: http://127.0.0.1/classes/api_push_cli.php | Host: mini.davinunes.eti.br | Title: Sistema de Recursos
2026-05-07 14:50:44 | Calling: http://127.0.0.1/classes/api_push_cli.php | Host: mini.davinunes.eti.br | Title: Novo Comentário
2026-05-07 15:15:53 | Calling: http://127.0.0.1/classes/api_push_cli.php | Host: mini.davinunes.eti.br | Title: Novo Comentário
2026-05-07 16:03:28 | Calling: http://127.0.0.1/classes/api_push_cli.php | Host: mini.davinunes.eti.br | Title: Novo Comentário
2026-05-07 16:04:20 | Calling: http://127.0.0.1/classes/api_push_cli.php | Host: mini.davinunes.eti.br | Title: Novo Comentário
2026-05-07 16:04:56 | Calling: http://127.0.0.1/classes/api_push_cli.php | Host: mini.davinunes.eti.br | Title: Novo Comentário
2026-05-07 16:46:01 | Calling: http://127.0.0.1/classes/api_push_cli.php | Host: mini.davinunes.eti.br | Title: Novo Recurso (140/2026)
